CZ,FR,IT,ES,EN
Pondělí,Lundi,Lunedì,Lunes,Monday
Úterý,Mardi,Martedì,Martes,Tuesday
Středa,Mercredi,Mercoledì,Miércoles,Wednesday
Čtvrtek,Jeudi,Giovedì,Jueves,Thursday
Pátek,Vendredi,Venerdì,Viernes,Friday
Sobota,Samedi,Sabato,Sábado,Saturday
Neděle,Dimanche,Domenica,Domingo,Sunday
Leden,Janvier,Gennaio,Enero,January
Únor,Février,Febbraio,Febrero,February
Březen,Mars,Marzo,Marzo,March
Duben,Avril,Aprile,Abril,April
Květen,Mai,Maggio,Mayo,May
Červen,Juin,Giugno,Junio,June
Červenec,Juillet,Luglio,Julio,July
Srpen,Août,Agosto,Agosto,August
Září,Septembre,Settembre,Septiembre,September
Říjen,Octobre,Ottobre,Octubre,October
Listopad,Novembre,Novembre,Noviembre,November
Prosinec,Décembre,Dicembre,Diciembre,December
Červená,Rouge,Rosso,Rojo,Red
Modrá,Bleu,Blu,Azul,Blue
Žlutá,Jaune,Giallo,Amarillo,Yellow
Zelená,Vert,Verde,Verde,Green
Černá,Noir,Nero,Negro,Black
Bílá,Blanc,Bianco,Blanco,White
Oranžová,Orange,Arancione,Naranja,Orange
Fialová,Violet,Viola,Morado,Purple
Růžová,Rose,Rosa,Rosa,Pink
Hnědá,Marron,Marrone,Marrón,Brown
Jedna,Un,Uno,Uno,One
Dvě,Deux,Due,Dos,Two
Tři,Trois,Tre,Tres,Three
Čtyři,Quatre,Quattro,Cuatro,Four
Pět,Cinq,Cinque,Cinco,Five
Šest,Six,Sei,Seis,Six
Sedm,Sept,Sette,Siete,Seven
Osm,Huit,Otto,Ocho,Eight
Devět,Neuf,Nove,Nueve,Nine
Deset,Dix,Dieci,Diez,Ten
Jedenáct,Onze,Undici,Once,Eleven
Dvanáct,Douze,Dodici,Doce,Twelve
Třináct,Treize,Tredici,Trece,Thirteen
Čtrnáct,Quatorze,Quattordici,Catorce,Fourteen
Patnáct,Quinze,Quindici,Quince,Fifteen
Šestnáct,Seize,Sedici,Dieciséis,Sixteen
Sedmnáct,Dix-sept,Diciassette,Diecisiete,Seventeen
Osmnáct,Dix-huit,Diciotto,Dieciocho,Eighteen
Devatenáct,Dix-neuf,Diciannove,Diecinueve,Nineteen
Dvacet,Vingt,Venti,Veinte,Twenty
Třicet,Trente,Trenta,Treinta,Thirty
Čtyřicet,Quarante,Quaranta,Cuarenta,Forty
Padesát,Cinquante,Cinquanta,Cincuenta,Fifty
Šedesát,Soixante,Sessanta,Sesenta,Sixty
Sedmdesát,Soixante-dix,Settanta,Setenta,Seventy
Osmdesát,Quatre-vingts,Ottanta,Ochenta,Eighty
Devadesát,Quatre-vingt-dix,Novanta,Noventa,Ninety
Sto,Cent,Cento,Cien,One hundred
Tisíc,Mille,Mille,Mil,One thousand
Jeden milion,Un million,Un milione,Un millón,One million
Pes,Chien,Cane,Perro,Dog
Kočka,Chat,Gatto,Gato,Cat
